source_resolution,source_fps,output_resolution,output_fps_target,nodes,nominal_tops_per_node,effective_utilization,bandwidth_mib_s,output_mode,frames,authoritative_frames,reconstructed_frames,throughput_fps,p50_latency_ms,p95_latency_ms,p99_latency_ms,deadline_misses,input_bytes,output_bytes,total_transfer_bytes,avg_transfer_bytes_per_frame,transfer_mib_s_over_clip,egress_busy_fraction,ingress_busy_fraction,max_node_busy_fraction,stale_replays_rejected,required_gop_s,required_effective_tops,delivered_gop_s,compute_headroom_ratio,bottleneck
360p,10,1080p,60,16,2.0,0.3,125,encoded,600,100,500,60.08258567028802,60.52089111328087,66.95432861328118,73.14776611328125,0,248326144,15000000,263326144,438876.9066666667,25.112738037109374,0.19452519436089843,0.01626645061702951,0.5036923432025814,1,1620.0,1.62,9600.0,5.925925925925926,HEADROOM
360p,10,1080p,60,16,2.0,0.4,125,encoded,600,100,500,60.16080352680549,48.02089111328087,54.45432861328118,60.64776611328125,0,247915008,15000000,262915008,438191.68,25.073529052734376,0.1944559008814576,0.01628762691771992,0.3797650722629591,1,1620.0,1.62,12800.0,7.901234567901234,HEADROOM
360p,10,1080p,60,16,2.0,0.5,125,encoded,600,100,500,60.22257189268864,40.52089111328087,46.95432861328118,53.14776611328125,0,247915008,15000000,262915008,438191.68,25.073529052734376,0.1946555528563258,0.0163043497678124,0.3053284394959309,1,1620.0,1.62,16000.0,9.876543209876543,HEADROOM
360p,10,1080p,60,16,2.0,0.6,125,encoded,600,100,500,60.26655265027473,35.52089111328087,41.95432861328118,48.14776611328125,0,247092736,15000000,262092736,436821.2266666667,24.995111083984376,0.1941515086630993,0.016316256892204475,0.2592667095014814,1,1620.0,1.62,19200.0,11.851851851851851,HEADROOM
360p,10,1080p,60,16,2.0,0.7,125,encoded,600,100,500,60.295253495335,31.94946254185197,38.38290004185228,44.576337541852695,0,246270464,15000000,261270464,435450.7733333333,24.916693115234374,0.19360549956562342,0.01632402721156792,0.22450506958605904,1,1620.0,1.62,22400.0,13.82716049382716,HEADROOM
360p,15,1080p,60,4,2.0,0.2,125,encoded,600,150,450,59.42386118155049,86.73083902994762,96.95412027994917,96.95412027995008,0,246270464,15000000,261270464,435450.7733333333,24.916693115234374,0.19081541901634058,0.01608811093263114,0.9612403784727634,1,1530.0,1.53,1600.0,1.0457516339869282,COMPUTE_HEADROOM_LOW
360p,15,1080p,60,4,2.0,0.3,125,encoded,600,150,450,59.75359109468397,57.30417236328094,60.52089111328132,60.520891113281436,0,246270464,15000000,261270464,435450.7733333333,24.916693115234374,0.19187421173505273,0.01617738031558307,0.7579344673086718,1,1530.0,1.53,2400.0,1.5686274509803921,HEADROOM
360p,15,1080p,60,4,2.0,0.4,125,encoded,600,150,450,59.902732903323944,44.80417236328094,48.02089111328132,48.020891113281436,0,246270464,15000000,261270464,435450.7733333333,24.916693115234374,0.19235311963741109,0.016217758202754735,0.5721310019596478,1,1530.0,1.53,3200.0,2.0915032679738563,HEADROOM
360p,15,1080p,60,4,2.0,0.5,125,encoded,600,150,450,59.992575884558825,37.30417236328094,40.52089111328132,40.520891113281436,0,246270464,15000000,261270464,435450.7733333333,24.916693115234374,0.19264161361557308,0.01624208182999614,0.4602030496104505,1,1530.0,1.53,4000.0,2.6143790849673203,HEADROOM
360p,15,1080p,60,4,2.0,0.6,125,encoded,600,150,450,60.05262107500731,32.30417236328094,35.52089111328132,35.520891113281436,0,246270464,15000000,261270464,435450.7733333333,24.916693115234374,0.1928344241793353,0.016258338156422907,0.38539770451903765,1,1530.0,1.53,4800.0,3.1372549019607843,HEADROOM
360p,15,1080p,60,4,2.0,0.7,125,encoded,600,150,450,60.09558413860918,28.732743791852045,31.949462541852427,31.94946254185288,0,246270464,15000000,261270464,435450.7733333333,24.916693115234374,0.19297238248127688,0.016269969755573304,0.3318735708637455,1,1530.0,1.53,5600.0,3.6601307189542482,HEADROOM
