source_resolution,source_fps,output_resolution,output_fps_target,nodes,nominal_tops_per_node,effective_utilization,bandwidth_mib_s,output_mode,frames,authoritative_frames,reconstructed_frames,throughput_fps,p50_latency_ms,p95_latency_ms,p99_latency_ms,deadline_misses,input_bytes,output_bytes,total_transfer_bytes,avg_transfer_bytes_per_frame,transfer_mib_s_over_clip,egress_busy_fraction,ingress_busy_fraction,max_node_busy_fraction,stale_replays_rejected,required_gop_s,required_effective_tops,delivered_gop_s,compute_headroom_ratio,bottleneck
360p,10,1080p,60,4,2.0,0.4,100,raw,600,100,500,33.41090347433362,4015.026679687482,7536.173710937503,7879.750859375046,591,164454400,1866240000,2030694400,3384490.6666666665,193.662109375,0.08910238997589308,0.9937433732866251,0.42306556524375094,1,1620.0,1.62,3200.0,1.9753086419753085,OUTPUT_INTERCONNECT
360p,10,1080p,60,4,2.0,0.4,125,encoded,600,100,500,59.85502579376665,51.237609863280795,79.68745361328183,79.68745361328183,0,164454400,15000000,179454400,299090.6666666667,17.114105224609375,0.12833391382471102,0.016204842224971195,0.7579142641135729,1,1620.0,1.62,3200.0,1.9753086419753085,HEADROOM
360p,10,1080p,60,4,2.0,0.4,125,raw,600,100,500,41.655710347018214,2239.2154687499824,4165.662968749963,4360.924687499961,583,164454400,1866240000,2030694400,3384490.6666666665,193.662109375,0.08931314072774285,0.9918419894767263,0.52746543226912,1,1620.0,1.62,3200.0,1.9753086419753085,OUTPUT_INTERCONNECT
360p,10,1080p,60,4,2.0,0.4,200,encoded,600,100,500,59.87653125774825,46.46100616455033,78.43965850830136,78.43965850830136,0,164454400,15000000,179454400,299090.6666666667,17.114105224609375,0.08142606367171897,0.011927961252621088,0.7581865770512399,1,1620.0,1.62,3200.0,1.9753086419753085,HEADROOM
360p,10,1080p,60,4,2.0,0.4,200,raw,600,100,500,59.381438860665654,99.78662109374955,129.60970703124985,129.6097070312503,0,164454400,1866240000,2030694400,3384490.6666666665,193.662109375,0.08075278777878696,0.8854688771170134,0.7519174695731815,1,1620.0,1.62,3200.0,1.9753086419753085,OUTPUT_INTERCONNECT_HEADROOM_LOW
360p,10,1080p,60,4,2.0,0.4,400,encoded,600,100,500,59.894464286029496,42.480503082274936,77.39982925415097,77.39982925415097,0,164454400,15000000,179454400,299090.6666666667,17.114105224609375,0.04231043221520581,0.008361545410663387,0.7584136540218511,1,1620.0,1.62,3200.0,1.9753086419753085,HEADROOM
360p,10,1080p,60,4,2.0,0.4,400,raw,600,100,500,59.81844045982774,69.14331054687455,84.75599609375058,84.75599609375058,0,164454400,1866240000,2030694400,3384490.6666666665,193.662109375,0.042256727737110984,0.4483853602385574,0.7574510023225713,1,1620.0,1.62,3200.0,1.9753086419753085,HEADROOM
360p,10,1080p,60,4,2.0,0.4,800,encoded,600,100,500,59.90343482898152,40.49025154113724,76.87991462707578,76.87991462707578,0,164454400,15000000,179454400,299090.6666666667,17.114105224609375,0.022743828818767332,0.006577536263222048,0.7585272435219811,1,1620.0,1.62,3200.0,1.9753086419753085,HEADROOM
360p,10,1080p,60,4,2.0,0.4,800,raw,600,100,500,59.86562631088664,53.821655273437045,80.55799804687558,80.55799804687558,0,164454400,1866240000,2030694400,3384490.6666666665,193.662109375,0.022729473874582642,0.22676415235013045,0.7580484931616046,1,1620.0,1.62,3200.0,1.9753086419753085,HEADROOM
360p,10,1080p,60,4,2.0,0.4,1600,encoded,600,100,500,59.90792110818839,39.49512577056839,76.61995731353818,76.61995731353818,0,164454400,15000000,179454400,299090.6666666667,17.114105224609375,0.012958329051783768,0.005685331277876423,0.7585840510324382,1,1620.0,1.62,3200.0,1.9753086419753085,HEADROOM
